query_id,query,desired_location,profile_skills,desired_experience,workplace_preference,desired_job_types,job_id,title,company,description,location,workplace,experience_level,job_type,posted_at,skills,salary,url,source,label
query-0254,lead Product Designer,"New York, USA",prototyping|figma|design systems,lead,onsite,contract,query-0254-job-5,Applied AI Engineer,Northstar Labs,We are hiring someone to build production machine learning systems and deploy predictive models. You will work with pytorch mlops nlp sql in a collaborative team.,"Berlin, Germany",remote,lead,full time,2026-04-18 17:00:00+00:00,pytorch|mlops|nlp|sql,"$90,000 - $140,000",https://jobs.example/query-0254-job-5,synthetic,0
query-0247,senior Machine Learning Engineer,"Berlin, Germany",scikit learn|pytorch|python,senior,remote,full time,query-0247-job-2,Machine Learning Engineer,Maple Cloud,"Role focused on build production machine learning systems and deploy predictive models, but requires lead experience and attendance in Toronto, Canada.","Toronto, Canada",onsite,lead,part time,2026-05-14 17:00:00+00:00,python|mlops,,https://jobs.example/query-0247-job-2,synthetic,0
query-0106,entry React Developer,"New York, USA",typescript|html|css,entry,hybrid,part time,query-0106-job-7,Product Manager,Maple Cloud,We are hiring someone to lead product discovery strategy experiments and cross functional delivery. You will work with experimentation roadmaps agile sql in a collaborative team.,"Toronto, Canada",onsite,senior,contract,2026-05-27 06:00:00+00:00,experimentation|roadmaps|agile|sql,"$90,000 - $140,000",https://jobs.example/query-0106-job-7,synthetic,0
query-0214,mid Technical Product Manager,Remote,analytics|experimentation|discovery,mid,remote,full time,query-0214-job-7,UX Designer,Maple Cloud,We are hiring someone to research user needs and design intuitive digital product experiences. You will work with usability prototyping figma design systems in a collaborative team.,"Toronto, Canada",onsite,lead,contract,2026-05-15 02:00:00+00:00,usability|prototyping|figma|design systems,"$90,000 - $140,000",https://jobs.example/query-0214-job-7,synthetic,0
query-0252,entry DevOps Engineer,"New York, USA",aws|observability|terraform,entry,onsite,full time,query-0252-job-3,Machine Learning Engineer,Northstar Labs,We are hiring someone to build production machine learning systems and deploy predictive models. You will work with scikit learn sql mlops python in a collaborative team.,Remote,onsite,entry,contract,2026-05-30 16:00:00+00:00,scikit learn|sql|mlops|python,"$90,000 - $140,000",https://jobs.example/query-0252-job-3,synthetic,0
query-0016,lead API Engineer,"New York, USA",fastapi|postgresql|rest api,lead,hybrid,full time,query-0016-job-6,Site Reliability Engineer,Helio Systems,We are hiring someone to operate cloud infrastructure delivery pipelines and reliable services. You will work with python observability aws linux in a collaborative team.,"New York, USA",onsite,entry,part time,2026-04-24 05:00:00+00:00,python|observability|aws|linux,"$90,000 - $140,000",https://jobs.example/query-0016-job-6,synthetic,0
query-0171,mid Product Owner,"London, UK",experimentation|analytics|agile,mid,remote,full time,query-0171-job-7,React Developer,Vertex Studio,We are hiring someone to build accessible responsive web applications and design systems. You will work with testing webpack typescript react in a collaborative team.,Remote,hybrid,mid,full time,2026-05-15 19:00:00+00:00,testing|webpack|typescript|react,,https://jobs.example/query-0171-job-7,synthetic,0
query-0213,senior Technical Product Manager,Remote,analytics|agile|sql,senior,remote,full time,query-0213-job-7,Cloud Engineer,Northstar Labs,We are hiring someone to operate cloud infrastructure delivery pipelines and reliable services. You will work with aws python linux terraform in a collaborative team.,"Berlin, Germany",hybrid,lead,part time,2026-05-15 21:00:00+00:00,aws|python|linux|terraform,"$90,000 - $140,000",https://jobs.example/query-0213-job-7,synthetic,0
query-0161,entry DevOps Engineer,"London, UK",aws|kubernetes|terraform,entry,onsite,contract,query-0161-job-1,Infrastructure Specialist,Orbit Works,We are hiring someone to operate cloud infrastructure delivery pipelines and reliable services. You will work with aws kubernetes terraform python in a collaborative team.,"London, UK",onsite,entry,contract,2026-05-12 21:00:00+00:00,aws|kubernetes|terraform|python,"$90,000 - $140,000",https://jobs.example/query-0161-job-1,synthetic,1
query-0133,entry Applied AI Engineer,"Berlin, Germany",sql|mlops|python,entry,hybrid,full time,query-0133-job-4,Security Engineer,Orbit Works,We are hiring someone to protect applications investigate threats and improve security controls. You will work with siem python cloud security incident response in a collaborative team.,"Berlin, Germany",onsite,mid,full time,2026-05-05 21:00:00+00:00,siem|python|cloud security|incident response,,https://jobs.example/query-0133-job-4,synthetic,0
query-0213,senior Technical Product Manager,Remote,analytics|agile|sql,senior,remote,full time,query-0213-job-5,Backend Engineer,Orbit Works,We are hiring someone to develop scalable backend services APIs and distributed systems. You will work with redis docker postgresql rest api in a collaborative team.,"Berlin, Germany",onsite,entry,contract,2026-05-07 17:00:00+00:00,redis|docker|postgresql|rest api,,https://jobs.example/query-0213-job-5,synthetic,0
query-0013,senior DevOps Engineer,"Berlin, Germany",aws|python|observability,senior,remote,full time,query-0013-job-7,Python Developer,Helio Systems,We are hiring someone to develop scalable backend services APIs and distributed systems. You will work with fastapi rest api python redis in a collaborative team.,"London, UK",onsite,mid,full time,2026-04-19 19:00:00+00:00,fastapi|rest api|python|redis,,https://jobs.example/query-0013-job-7,synthetic,0
query-0149,mid Application Security Engineer,"London, UK",incident response|cloud security|python,mid,remote,contract,query-0149-job-6,ML Engineer,Northstar Labs,We are hiring someone to build production machine learning systems and deploy predictive models. You will work with mlops sql pytorch python in a collaborative team.,Remote,hybrid,lead,contract,2026-05-03 10:00:00+00:00,mlops|sql|pytorch|python,"$90,000 - $140,000",https://jobs.example/query-0149-job-6,synthetic,0
query-0188,lead ML Engineer,"Berlin, Germany",nlp|pytorch|sql,lead,onsite,full time,query-0188-job-6,Data Platform Engineer,Northstar Labs,We are hiring someone to design reliable data pipelines warehouses and streaming platforms. You will work with airflow python sql kafka in a collaborative team.,"Toronto, Canada",hybrid,lead,contract,2026-05-30 10:00:00+00:00,airflow|python|sql|kafka,"$90,000 - $140,000",https://jobs.example/query-0188-job-6,synthetic,0
